Ledger balance report 2019

Currency,Wallet,Balance Change,Timestamp,Transaction Type,Tag,Wallet Balance,Total Balance,TxHash,Description
AUD,BTC Markets 3,11023.38955694,2018-07-12 19:34:44 UTC,Sell,"",11023.39,11023.39,1992756536,""
AUD,BTC Markets 3,146.6310936605,2018-07-12 19:34:44 UTC,Sell,"",11170.02,11170.02,1992756536,""
AUD,BTC Markets 3,-1.24636282,2018-07-12 19:34:44 UTC,Sell,"",11168.77,11168.77,1992756536,""
AUD,BTC Markets 3,-93.698701,2018-07-12 19:34:44 UTC,Sell,"",11075.08,11075.08,1992756536,""
AUD,BTC Markets 3,-47.73594384,2018-07-12 19:35:40 UTC,Buy,"",11027.34,11027.34,1992759143,""
AUD,BTC Markets 3,-5616.0,2018-07-12 19:35:40 UTC,Buy,"",5411.34,5411.34,1992759143,""
AUD,BTC Markets 3,-45.60865969,2018-07-12 19:35:43 UTC,Buy,"",5365.73,5365.73,1992759143,""
AUD,BTC Markets 3,-5365.7309832048,2018-07-12 19:35:43 UTC,Buy,"",0.0,0.0,1992759143,""
AUD,BTC Markets 3,615.06,2018-07-12 19:36:49 UTC,Sell,"",615.06,615.06,1992762531,""
AUD,BTC Markets 3,-5.22800384,2018-07-12 19:36:49 UTC,Sell,"",609.83,609.83,1992762531,""
AUD,BTC Markets 3,-5.13987696,2018-07-12 19:37:10 UTC,Buy,"",604.69,604.69,1992763375,""
AUD,BTC Markets 3,-604.6921192455,2018-07-12 19:37:10 UTC,Buy,"",-0.0,-0.0,1992763375,""
AUD,BTC Markets 3,2965.2629248692,2018-07-12 19:37:54 UTC,Sell,"",2965.26,2965.26,1992765519,""
AUD,BTC Markets 3,-25.2047052,2018-07-12 19:37:54 UTC,Sell,"",2940.06,2940.06,1992765519,""
AUD,BTC Markets 3,-24.51707632,2018-07-12 19:38:13 UTC,Buy,"",2915.54,2915.54,1992766232,""
AUD,BTC Markets 3,-2884.3653141241,2018-07-12 19:38:13 UTC,Buy,"",31.18,31.18,1992766232,""
AUD,BTC Markets 3,-0.26276077,2018-07-12 19:38:44 UTC,Buy,"",30.91,30.91,1992767194,""
AUD,BTC Markets 3,-30.913068474,2018-07-12 19:38:44 UTC,Buy,"",-0.0,-0.0,1992767194,""
AUD,BTC Markets 3,100.0,2018-07-17 10:08:32 UTC,Sell,"",100.0,100.0,2011343129,""
AUD,BTC Markets 3,-0.649999,2018-07-17 10:08:32 UTC,Sell,"",99.35,99.35,2011343129,""
AUD,BTC Markets 3,100.0,2018-07-17 10:09:27 UTC,Sell,"",199.35,199.35,2011343129,""
AUD,BTC Markets 3,-0.649999,2018-07-17 10:09:27 UTC,Sell,"",198.7,198.7,2011343129,""
AUD,BTC Markets 3,208.4991326,2018-07-17 10:10:33 UTC,Sell,"",407.2,407.2,2011343129,""
AUD,BTC Markets 3,-1.35524227,2018-07-17 10:10:33 UTC,Sell,"",405.84,405.84,2011343129,""
AUD,BTC Markets 3,167.8098194,2018-07-17 10:14:17 UTC,Sell,"",573.65,573.65,2011343129,""
AUD,BTC Markets 3,-1.09076214,2018-07-17 10:14:17 UTC,Sell,"",572.56,572.56,2011343129,""
AUD,BTC Markets 3,50.0,2018-07-17 10:15:03 UTC,Sell,"",622.56,622.56,2011343129,""
AUD,BTC Markets 3,-0.3249995,2018-07-17 10:15:03 UTC,Sell,"",622.24,622.24,2011343129,""
AUD,BTC Markets 3,32.4660173,2018-07-17 10:19:18 UTC,Sell,"",654.7,654.7,2011343129,""
AUD,BTC Markets 3,-0.21102878,2018-07-17 10:19:18 UTC,Sell,"",654.49,654.49,2011343129,""
AUD,BTC Markets 3,51.7846,2018-07-17 10:22:17 UTC,Sell,"",706.28,706.28,2011343129,""
AUD,BTC Markets 3,-0.33659938,2018-07-17 10:22:17 UTC,Sell,"",705.94,705.94,2011343129,""
AUD,BTC Markets 3,495.7858254,2018-07-17 10:54:28 UTC,Sell,"",1201.73,1201.73,2011343129,""
AUD,BTC Markets 3,-3.2226029,2018-07-17 10:54:28 UTC,Sell,"",1198.5,1198.5,2011343129,""
AUD,BTC Markets 3,94.5361256,2018-07-17 10:58:04 UTC,Sell,"",1293.04,1293.04,2011343129,""
AUD,BTC Markets 3,-0.61448387,2018-07-17 10:58:04 UTC,Sell,"",1292.43,1292.43,2011343129,""
AUD,BTC Markets 3,100.0,2018-07-17 11:02:21 UTC,Sell,"",1392.43,1392.43,2011343129,""
AUD,BTC Markets 3,-0.649999,2018-07-17 11:02:21 UTC,Sell,"",1391.78,1391.78,2011343129,""
AUD,BTC Markets 3,3470.5007781,2018-07-17 11:05:28 UTC,Sell,"",4862.28,4862.28,2011343129,""
AUD,BTC Markets 3,-22.55822035,2018-07-17 11:05:28 UTC,Sell,"",4839.72,4839.72,2011343129,""
AUD,BTC Markets 3,1399.5512785,2018-07-17 11:21:22 UTC,Sell,"",6239.27,6239.27,2011343129,""
AUD,BTC Markets 3,-9.09706931,2018-07-17 11:21:22 UTC,Sell,"",6230.17,6230.17,2011343129,""
AUD,BTC Markets 3,197.45,2018-07-17 17:40:20 UTC,Sell,"",6427.62,6427.62,2011343129,""
AUD,BTC Markets 3,-1.28342302,2018-07-17 17:40:20 UTC,Sell,"",6426.34,6426.34,2011343129,""
AUD,BTC Markets 3,11184.4251314,2018-07-17 17:41:09 UTC,Sell,"",17610.76,17610.76,2011343129,""
AUD,BTC Markets 3,-72.6986515,2018-07-17 17:41:09 UTC,Sell,"",17538.07,17538.07,2011343129,""
AUD,BTC Markets 3,-47.77990477,2018-08-06 16:48:38 UTC,Buy,"",17490.29,17490.29,2013568479,""
AUD,BTC Markets 3,-7963.3174623741,2018-08-06 16:48:38 UTC,Buy,"",9526.97,9526.97,2013568479,""
AUD,BTC Markets 3,-31.46776545,2018-08-06 18:01:08 UTC,Buy,"",9495.5,9495.5,2013568479,""
AUD,BTC Markets 3,-5244.6275763327,2018-08-06 18:01:08 UTC,Buy,"",4250.87,4250.87,2013568479,""
AUD,BTC Markets 3,-25.3531188,2018-08-06 18:01:10 UTC,Buy,"",4225.52,4225.52,2013568479,""
AUD,BTC Markets 3,-4225.5198005421,2018-08-06 18:01:10 UTC,Buy,"",-0.0,-0.0,2013568479,""
AUD,BTC Markets 3,939.7090617945,2018-09-29 22:28:46 UTC,Sell,"",939.71,939.71,2342142873,""
AUD,BTC Markets 3,-7.98751762,2018-09-29 22:28:46 UTC,Sell,"",931.72,931.72,2342142873,""
AUD,BTC Markets 3,2.385,2018-09-29 22:31:34 UTC,Sell,"",934.11,934.11,2342142873,""
AUD,BTC Markets 3,-0.02027247,2018-09-29 22:31:34 UTC,Sell,"",934.09,934.09,2342142873,""
AUD,BTC Markets 3,3430.7211035853,2018-09-29 22:37:15 UTC,Sell,"",4364.81,4364.81,2342142873,""
AUD,BTC Markets 3,-29.16109507,2018-09-29 22:37:15 UTC,Sell,"",4335.65,4335.65,2342142873,""
AUD,BTC Markets 3,6660.0378288569,2018-09-29 22:50:27 UTC,Sell,"",10995.68,10995.68,2342226840,""
AUD,BTC Markets 3,-56.61025494,2018-09-29 22:50:27 UTC,Sell,"",10939.07,10939.07,2342226840,""
AUD,BTC Markets 3,1587.4,2018-09-29 22:51:36 UTC,Sell,"",12526.47,12526.47,2342226840,""
