Ledger balance report 2020

Currency,Wallet,Balance Change,Timestamp,Transaction Type,Tag,Wallet Balance,Total Balance,TxHash,Description
AUD,BTC Markets 3,500.0,2019-09-06 22:35:11 UTC,Fiat deposit,"",500.0,500.0,"","EFT Deposit, $ 500"
AUD,BTC Markets 3,-4.21417455,2019-09-06 22:35:45 UTC,Buy,"",495.79,495.79,4136116603,""
AUD,BTC Markets 3,-495.785825458,2019-09-06 22:35:45 UTC,Buy,"",-0.0,-0.0,4136116603,""
AUD,BTC Markets 3,300.0,2019-09-15 23:36:56 UTC,Fiat deposit,"",300.0,300.0,"","EFT Deposit, $ 300"
AUD,BTC Markets 3,-0.20441955,2019-09-15 23:37:23 UTC,Buy,"",299.8,299.8,4202586600,""
AUD,BTC Markets 3,-24.049387886,2019-09-15 23:37:23 UTC,Buy,"",275.75,275.75,4202586600,""
AUD,BTC Markets 3,-0.39939857,2019-09-15 23:58:51 UTC,Buy,"",275.35,275.35,4202586600,""
AUD,BTC Markets 3,-46.988123,2019-09-15 23:58:51 UTC,Buy,"",228.36,228.36,4202586600,""
AUD,BTC Markets 3,-1.9246866,2019-09-16 10:04:34 UTC,Buy,"",226.43,226.43,4202586600,""
AUD,BTC Markets 3,-226.4339843971,2019-09-16 10:04:34 UTC,Buy,"",-0.0,-0.0,4202586600,""
AUD,BTC Markets 3,100.0,2019-09-17 06:35:43 UTC,Fiat deposit,"",100.0,100.0,"","EFT Deposit, $ 100"
AUD,BTC Markets 3,-0.6444112,2019-09-17 06:36:15 UTC,Buy,"",99.36,99.36,4211394725,""
AUD,BTC Markets 3,-77.6399977,2019-09-17 06:36:15 UTC,Buy,"",21.72,21.72,4211394725,""
AUD,BTC Markets 3,-0.17875551,2019-09-17 06:36:21 UTC,Buy,"",21.54,21.54,4211394725,""
AUD,BTC Markets 3,-21.5368355,2019-09-17 06:36:21 UTC,Buy,"",0.0,0.0,4211394725,""
AUD,BTC Markets 3,100.0,2019-09-21 02:06:58 UTC,Fiat deposit,"",100.0,100.0,"","EFT Deposit, $ 100"
AUD,BTC Markets 3,-0.8231667,2019-09-21 02:07:20 UTC,Buy,"",99.18,99.18,4238551241,""
AUD,BTC Markets 3,-99.1768305671,2019-09-21 02:07:20 UTC,Buy,"",0.0,0.0,4238551241,""
AUD,BTC Markets 3,150.0,2019-09-21 06:38:27 UTC,Fiat deposit,"",150.0,150.0,"","EFT Deposit, $ 150"
AUD,BTC Markets 3,-1.11204926,2019-09-21 06:39:06 UTC,Buy,"",148.89,148.89,4240013818,""
AUD,BTC Markets 3,-133.982,2019-09-21 06:39:06 UTC,Buy,"",14.91,14.91,4240013818,""
AUD,BTC Markets 3,500.0,2019-09-25 21:31:15 UTC,Fiat deposit,"",514.91,514.91,"","EFT Deposit, $ 500"
AUD,BTC Markets 3,-4.08655518,2019-09-25 21:32:03 UTC,Buy,"",510.82,510.82,4275646985,""
AUD,BTC Markets 3,-510.8193984099,2019-09-25 21:32:03 UTC,Buy,"",-0.0,-0.0,4275646985,""
AUD,BTC Markets 3,1000.0,2019-09-27 00:31:23 UTC,Fiat deposit,"",1000.0,1000.0,"","EFT Deposit, $ 1000"
AUD,BTC Markets 3,-1.748504,2019-09-27 00:31:51 UTC,Buy,"",998.25,998.25,4284671306,""
AUD,BTC Markets 3,-218.563,2019-09-27 00:31:51 UTC,Buy,"",779.69,779.69,4284671306,""
AUD,BTC Markets 3,-6.18800334,2019-09-27 00:32:08 UTC,Buy,"",773.5,773.5,4284672688,""
AUD,BTC Markets 3,-773.5004175448,2019-09-27 00:32:08 UTC,Buy,"",0.0,0.0,4284672688,""
AUD,BTC Markets 3,1000.0,2019-09-28 01:34:02 UTC,Fiat deposit,"",1000.0,1000.0,"","EFT Deposit, $ 1000"
AUD,BTC Markets 3,-0.05648,2019-09-28 01:35:07 UTC,Buy,"",999.94,999.94,4292127711,""
AUD,BTC Markets 3,-7.06,2019-09-28 01:35:07 UTC,Buy,"",992.88,992.88,4292127711,""
AUD,BTC Markets 3,-3.73106851,2019-09-28 01:36:34 UTC,Buy,"",989.15,989.15,4292134061,""
AUD,BTC Markets 3,-4.14864,2019-09-28 01:36:34 UTC,Buy,"",985.0,985.0,4292134061,""
AUD,BTC Markets 3,-466.3835641393,2019-09-28 01:36:34 UTC,Buy,"",518.62,518.62,4292134061,""
AUD,BTC Markets 3,-518.58,2019-09-28 01:36:34 UTC,Buy,"",0.04,0.04,4292134061,""
AUD,BTC Markets 3,1000.0,2019-10-01 23:31:00 UTC,Fiat deposit,"",1000.04,1000.04,"","EFT Deposit, $ 1000"
AUD,BTC Markets 3,-0.23878215,2019-10-01 23:31:51 UTC,Buy,"",999.8,999.8,4318479495,""
AUD,BTC Markets 3,-7.20567689,2019-10-01 23:31:51 UTC,Buy,"",992.6,992.6,4318479495,""
AUD,BTC Markets 3,-31.8376634484,2019-10-01 23:31:51 UTC,Buy,"",960.76,960.76,4318479495,""
