Ledger balance report 2021

Currency,Wallet,Balance Change,Timestamp,Transaction Type,Tag,Wallet Balance,Total Balance,TxHash,Description
1INCH,Binance,1000.0,2020-12-25 20:14:28 UTC,Exchange,"",1000.0,1000.0,2218368_1inch,""
1INCH,Binance,-1.0,2020-12-25 20:14:28 UTC,Exchange fee,"",999.0,999.0,2218368_1inch,""
1INCH,Binance,-5.0,2020-12-25 20:23:59 UTC,Exchange,"",994.0,994.0,2237646_usdt,""
1INCH,Binance,-70.09,2020-12-25 20:23:59 UTC,Exchange,"",923.91,923.91,2237646_usdt,""
1INCH,Binance,-108.55,2020-12-25 20:23:59 UTC,Exchange,"",815.36,815.36,2237646_usdt,""
1INCH,Binance,-815.36,2020-12-25 20:23:59 UTC,Exchange,"",0.0,0.0,2237646_usdt,""
1INCH,Binance,71.77,2021-05-07 00:45:29 UTC,Exchange,"",71.77,71.77,219052577_1inch,""
1INCH,Binance,71.77,2021-05-07 00:45:29 UTC,Exchange,"",143.54,143.54,219052577_1inch,""
1INCH,Binance,71.77,2021-05-07 00:45:29 UTC,Exchange,"",215.31,215.31,219052577_1inch,""
1INCH,Binance,71.77,2021-05-07 00:45:29 UTC,Exchange,"",287.08,287.08,219052577_1inch,""
1INCH,Binance,71.75,2021-05-07 00:45:29 UTC,Exchange,"",358.83,358.83,219052577_1inch,""
1INCH,Binance,12.93,2021-05-07 00:45:29 UTC,Exchange,"",371.76,371.76,219052577_1inch,""
1INCH,Binance,-0.01293,2021-05-07 00:45:29 UTC,Exchange fee,"",371.74707,371.74707,219052577_1inch,""
1INCH,Binance,-0.07175,2021-05-07 00:45:29 UTC,Exchange fee,"",371.67532,371.67532,219052577_1inch,""
1INCH,Binance,-0.07177,2021-05-07 00:45:29 UTC,Exchange fee,"",371.60355,371.60355,219052577_1inch,""
1INCH,Binance,-0.07177,2021-05-07 00:45:29 UTC,Exchange fee,"",371.53178,371.53178,219052577_1inch,""
1INCH,Binance,-0.07177,2021-05-07 00:45:29 UTC,Exchange fee,"",371.46001,371.46001,219052577_1inch,""
1INCH,Binance,-0.07177,2021-05-07 00:45:29 UTC,Exchange fee,"",371.38824,371.38824,219052577_1inch,""
1INCH,Binance,445.19,2021-05-08 19:55:33 UTC,Exchange,"",816.57824,816.57824,222821269_1inch,""
1INCH,Binance,212.19,2021-05-08 19:55:33 UTC,Exchange,"",1028.76824,1028.76824,222821269_1inch,""
1INCH,Binance,55.09,2021-05-08 19:55:33 UTC,Exchange,"",1083.85824,1083.85824,222821269_1inch,""
1INCH,Binance,39.61,2021-05-08 19:55:33 UTC,Exchange,"",1123.46824,1123.46824,222821269_1inch,""
1INCH,Binance,17.05,2021-05-08 19:55:33 UTC,Exchange,"",1140.51824,1140.51824,222821269_1inch,""
1INCH,Binance,-0.01705,2021-05-08 19:55:33 UTC,Exchange fee,"",1140.50119,1140.50119,222821269_1inch,""
1INCH,Binance,-0.03961,2021-05-08 19:55:33 UTC,Exchange fee,"",1140.46158,1140.46158,222821269_1inch,""
1INCH,Binance,-0.05509,2021-05-08 19:55:33 UTC,Exchange fee,"",1140.40649,1140.40649,222821269_1inch,""
1INCH,Binance,-0.21219,2021-05-08 19:55:33 UTC,Exchange fee,"",1140.1943,1140.1943,222821269_1inch,""
1INCH,Binance,-0.44519,2021-05-08 19:55:33 UTC,Exchange fee,"",1139.74911,1139.74911,222821269_1inch,""
1INCH,Binance,-50.0,2021-05-09 21:59:31 UTC,Exchange,"",1089.74911,1089.74911,225048697_usdt,""
1INCH,Binance,-1.63,2021-05-10 07:53:00 UTC,Exchange,"",1088.11911,1088.11911,225620065_usdt,""
1INCH,Binance,-2.73,2021-05-10 07:53:00 UTC,Exchange,"",1085.38911,1085.38911,225620065_usdt,""
1INCH,Binance,-3.7,2021-05-10 07:53:00 UTC,Exchange,"",1081.68911,1081.68911,225620065_usdt,""
1INCH,Binance,-10.0,2021-05-10 07:53:00 UTC,Exchange,"",1071.68911,1071.68911,225620065_usdt,""
1INCH,Binance,-14.5,2021-05-10 07:53:00 UTC,Exchange,"",1057.18911,1057.18911,225620065_usdt,""
1INCH,Binance,-16.14,2021-05-10 07:53:00 UTC,Exchange,"",1041.04911,1041.04911,225620065_usdt,""
