Ledger balance report 2023

Currency,Wallet,Balance Change,Timestamp,Transaction Type,Tag,Wallet Balance,Total Balance,TxHash,Description
AUD,Binance,145.0,2022-07-06 22:39:52 UTC,Fiat deposit,"",145.0,145.0,"",Bank Transfer
AUD,Binance,-69.930484,2022-07-06 22:42:26 UTC,Buy,"",75.07,75.07,433037633_BTC,""
AUD,Binance,-74.999067,2022-07-06 22:42:49 UTC,Buy,"",0.07,0.08,379982177_ETH,""
BTC,Binance,0.00232,2022-07-06 22:42:26 UTC,Buy,"",0.00232,0.0023282385,433037633_BTC,""
BTC,Binance,-0.00000232,2022-07-06 22:42:26 UTC,Buy,"",0.00231768,0.0023259185,433037633_BTC,""
BTC,Binance,-0.00231768,2022-07-06 22:50:03 UTC,Crypto withdrawal,"",0.0,0.0000082385,43545bbdeec7ebfd54bf3652aed8fc253a5f6bd5e88cdf11468aa926446f316c,""
CANARY,Songbird (SGB),75.37,2022-11-05 20:31:01 UTC,Crypto deposit,"",75.37,75.37,0xda6ca70267798d1ed07b2b44c43ad5ccf5f1b6fe84dd04a981ad243ec15c4063,""
ETH,Binance,0.0429,2022-07-06 22:42:49 UTC,Buy,"",0.0429,0.0429,379982177_ETH,""
ETH,Binance,-0.0000429,2022-07-06 22:42:49 UTC,Buy,"",0.0428571,0.0428571,379982177_ETH,""
ETH,Binance,-0.0428571,2022-07-06 22:51:46 UTC,Crypto withdrawal,"",0.0,0.0,0x474ee844fe73152ee56538a5d89bbb11cfbc39de7f968f7b897d288bee8ee4d4,""
FLR,Flare (FLR) - 0x41b7...02,11666.1123497021,2023-01-10 00:47:39 UTC,Crypto deposit,Airdrop,11666.1123497021,11666.1123497021,0x70cb1011d46df485233f2b9101203f741c45a5189e2176899af7a502f8b5b335,"Initial FLR airdrop of 11,666.11 tokens into Ledger wallet (0x41b7…02)."
FLR,Ledger,11666.1123497021,2023-01-10 00:47:39 UTC,Crypto deposit,"",11666.1123497021,23332.2246994042,"","Record from CSV import: FLR airdrop of 11,666.11 tokens into Ledger wallet, valued at ~USD $461 / AUD $669."
FLR,Ledger,3.7758586106,2023-01-10 00:48:36 UTC,Crypto deposit,"",11669.8882083127,23336.0005580148,"",Additional FLR airdrop of 3.78 tokens into Ledger wallet (small allocation).
FLR,Flare (FLR),10.0,2023-03-01 21:53:27 UTC,Transfer,"",10.0,23346.0005580148,0xa77c05b2bdf8adfd49d517a1276127023777aab25748400af77909d600998652,"Test transfer of 10 FLR from Ledger wallet (0x41b7…02) to Bifrost wallet (0xbf09…), with ~0.00327 FLR paid in network fees."
FLR,Flare (FLR) - 0x41b7...02,0.0032698687,2023-03-01 21:53:27 UTC,Transfer,"",11666.1156195708,23346.0038278835,0xa77c05b2bdf8adfd49d517a1276127023777aab25748400af77909d600998652,"Test transfer of 10 FLR from Ledger wallet (0x41b7…02) to Bifrost wallet (0xbf09…), with ~0.00327 FLR paid in network fees."
FLR,Flare (FLR) - 0x41b7...02,-0.0032698687,2023-03-01 21:53:27 UTC,Transfer fee,"",11666.1123497021,23346.0005580148,0xa77c05b2bdf8adfd49d517a1276127023777aab25748400af77909d600998652,"Test transfer of 10 FLR from Ledger wallet (0x41b7…02) to Bifrost wallet (0xbf09…), with ~0.00327 FLR paid in network fees."
