Ledger balance report 2022

Currency,Wallet,Balance Change,Timestamp,Transaction Type,Tag,Wallet Balance,Total Balance,TxHash,Description
AUD,Binance,1326.70687473,2021-07-05 03:38:28 UTC,Sell,"",1326.71,1326.72,951080203726113361,""
AUD,Binance,-100.0,2021-07-08 02:50:56 UTC,Fiat withdrawal,"",1226.71,1226.72,"",Bank Transfer
AUD,Binance,-100.0,2021-07-11 04:14:43 UTC,Fiat withdrawal,"",1126.71,1126.72,"",Bank Transfer
AUD,Binance,-1126.71,2021-07-12 08:21:11 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,67.35975362,2021-07-16 00:40:41 UTC,Sell,"",67.36,67.37,959152448730057477,""
AUD,Binance,-67.36,2021-07-16 00:41:34 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,67.65954798,2021-07-17 03:19:00 UTC,Sell,"",67.66,67.67,959976214867561538,""
AUD,Binance,-67.66,2021-07-17 03:20:22 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,67.85945493,2021-07-23 22:40:50 UTC,Sell,"",67.86,67.87,965028041300397095,""
AUD,Binance,-67.86,2021-07-23 22:42:35 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,67.959344,2021-07-26 01:48:16 UTC,Sell,"",67.96,67.96,966608984402315902,""
AUD,Binance,-67.95,2021-07-26 01:49:16 UTC,Fiat withdrawal,"",0.01,0.01,"",Bank Transfer
AUD,Binance,67.74030535,2021-07-28 23:07:51 UTC,Sell,"",67.75,67.76,968752817328114282,""
AUD,Binance,-67.75,2021-07-28 23:20:53 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,406.1738424,2021-08-05 02:40:35 UTC,Sell,"",406.17,406.18,974057651694488280,""
AUD,Binance,-406.17,2021-08-05 02:42:41 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,97.73612931,2021-08-11 05:21:56 UTC,Sell,"",97.74,97.75,978593832943766331,""
AUD,Binance,-97.74,2021-08-11 05:23:02 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,94.0672678,2021-08-21 07:03:17 UTC,Sell,"",94.07,94.07,986067771823508105,""
AUD,Binance,-94.06,2021-08-21 07:03:58 UTC,Fiat withdrawal,"",0.01,0.01,"",Bank Transfer
AUD,Binance,171.55393702,2021-08-25 23:30:04 UTC,Sell,"",171.56,171.57,989545037475891852,""
AUD,Binance,-171.56,2021-08-25 23:31:24 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,530.44331529,2021-09-03 03:40:24 UTC,Sell,"",530.44,530.45,995611421083454559,""
AUD,Binance,-530.44,2021-09-03 03:41:13 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
AUD,Binance,108.57511541,2021-09-06 22:11:21 UTC,Sell,"",108.58,108.58,998410511399799836,""
AUD,Binance,-108.57,2021-09-06 22:12:21 UTC,Fiat withdrawal,"",0.01,0.01,"",Bank Transfer
AUD,Binance,83.83818292,2021-09-09 01:02:51 UTC,Sell,"",83.85,83.85,999983242524248786,""
AUD,Binance,-83.84,2021-09-09 01:03:45 UTC,Fiat withdrawal,"",0.01,0.01,"",Bank Transfer
AUD,Binance,82.99366995,2021-09-09 04:39:24 UTC,Sell,"",83.0,83.01,1000094851544402642,""
AUD,Binance,-83.0,2021-09-09 04:40:30 UTC,Fiat withdrawal,"",0.0,0.01,"",Bank Transfer
