Ledger balance report 2024

Currency,Wallet,Balance Change,Timestamp,Transaction Type,Tag,Wallet Balance,Total Balance,TxHash,Description
BUSD,Binance,-0.2193214,2024-01-04 14:06:15 UTC,Exchange,"",0.0,0.0,1629005289201056732,""
DOGE,Binance,-5438.61610918,2023-11-06 18:17:24 UTC,Transfer,"",0.0,0.0,"",Off-chain transfer 145793769514  Moving assets from Personal account to the SMSF account
DOGE,Binance New,5438.61610918,2023-11-06 18:17:41 UTC,Transfer,"",5438.61610918,5438.61610918,"",Off-chain transfer 145793769514  Moving assets from Personal account to the SMSF account
FDUSD,Binance,0.2193214,2024-01-04 14:06:15 UTC,Exchange,"",0.2193214,0.2193214,1629005289201056732,""
LUNA,Binance,0.0002695,2023-07-20 06:57:30 UTC,Crypto deposit,Airdrop,0.00215604,0.00215604,"",airdrop user asset
LUNA,Binance,0.0002695,2023-08-23 13:00:42 UTC,Crypto deposit,Airdrop,0.00242554,0.00242554,"",airdrop user asset
LUNA,Binance,0.0002695,2023-09-22 02:49:24 UTC,Crypto deposit,Airdrop,0.00269504,0.00269504,"",airdrop user asset
LUNA,Binance,0.0002695,2023-10-20 09:26:54 UTC,Crypto deposit,Airdrop,0.00296454,0.00296454,"",airdrop user asset
LUNA,Binance,0.0002695,2023-11-17 08:59:13 UTC,Crypto deposit,Airdrop,0.00323404,0.00323404,"",airdrop user asset
LUNA,Binance,0.0002695,2023-12-15 02:54:20 UTC,Crypto deposit,Airdrop,0.00350354,0.00350354,"",airdrop user asset
LUNA,Binance,0.0002695,2024-01-19 08:38:36 UTC,Crypto deposit,Airdrop,0.00377304,0.00377304,"",airdrop user asset
LUNA,Binance,0.0002695,2024-02-20 07:11:48 UTC,Crypto deposit,Airdrop,0.00404254,0.00404254,"",airdrop user asset
LUNA,Binance,0.0002695,2024-03-21 09:23:33 UTC,Crypto deposit,Airdrop,0.00431204,0.00431204,"",airdrop user asset
LUNA,Binance,0.0002695,2024-04-19 03:59:14 UTC,Crypto deposit,Airdrop,0.00458154,0.00458154,"",airdrop user asset
SHIB,Binance,-49719903.45,2023-11-06 18:13:25 UTC,Transfer,"",0.0,0.0,"",Off-chain transfer 145793544736  Moving assets from Personal account to the SMSF account
SHIB,Binance New,49719903.45,2023-11-06 18:14:01 UTC,Transfer,"",49719903.45,49719903.45,"",Off-chain transfer 145793544736  Moving assets from Personal account to the SMSF account
USDT,Binance,-71.96670182,2023-11-06 18:19:08 UTC,Transfer,"",48.95035131,48.95035131,"",Off-chain transfer 145793870382  - Moving assets from Personal account to the SMSF account
USDT,Binance New,71.96670182,2023-11-06 18:19:41 UTC,Transfer,"",71.96670182,120.91705313,"",Off-chain transfer 145793870382  - Moving assets from Personal account to the SMSF account
WFLR,Flare (FLR),13.8237231577,2023-07-03 07:51:05 UTC,Crypto deposit,"",20519.3131249614,20519.3131249614,0x04b863a239040aad61e4bf768f8f1fa32f5951305fce7cee698089f2cc4e8d6f,""
