Ledger balance report 2026

Currency,Wallet,Balance Change,Timestamp,Transaction Type,Tag,Wallet Balance,Total Balance,TxHash,Description
WFLR,Flare (FLR),34.4125383804,2025-06-30 14:38:20 UTC,Crypto deposit,"",63881.9186267054,63881.9186267054,0xe06239e4e40d21e91901db61148db230164797a7e5740603b7c5840350a213a3,""
WFLR,Flare (FLR),1313.8277284614,2025-07-04 15:49:53 UTC,Crypto deposit,"",65195.7463551668,65195.7463551668,0x5a8b22d33eef893d1c485ab66281b002f84f56f086d78613221daeb995334e98,""
WFLR,Flare (FLR),33.2206551528,2025-07-04 16:44:10 UTC,Crypto deposit,"",65228.9670103196,65228.9670103196,0xb5fbdf87be35d01037e5352388383074bac2e84dc3e21f3bac50cd923d28d216,""
WFLR,Flare (FLR),33.312029502,2025-07-07 15:09:48 UTC,Crypto deposit,"",65262.2790398216,65262.2790398216,0xf3a476ab0c13adb79f7e289042d6facb2d3db049e6b049b9166c2b7525f30e99,""
WFLR,Flare (FLR),33.3262331828,2025-07-12 04:56:08 UTC,Crypto deposit,"",65295.6052730044,65295.6052730044,0x3d61affb1f4a3f144122c8f64b6b70049f7f33087d72ea63a67181e8c4683c8f,""
WFLR,Flare (FLR),32.9775117631,2025-07-14 21:04:16 UTC,Crypto deposit,"",65328.5827847675,65328.5827847675,0xc6b84b3edb0e8759a4d35c48224804f2732db6325aa503acf1997cc7714f6bae,""
WFLR,Flare (FLR),33.5648857551,2025-07-18 21:25:56 UTC,Crypto deposit,"",65362.1476705226,65362.1476705226,0x01bba7d3b3c6f7abcc0c26e5070bf84b8c8e2f1b060357f7e58eb8d5bb62a210,""
WFLR,Flare (FLR),33.9180977261,2025-07-21 16:21:59 UTC,Crypto deposit,"",65396.0657682487,65396.0657682487,0xce39d597ce99bb593f35b12a501b20a4ea51f7192ebc548d23c7c603a282a332,""
WFLR,Flare (FLR),32.9787233442,2025-07-25 13:31:03 UTC,Crypto deposit,"",65429.0444915929,65429.0444915929,0xbbba467c10b3c1303e94959aaba0dd6d5dfb8fa30a14de929428749d0a64b978,""
WFLR,Flare (FLR),34.067635885,2025-07-28 15:46:16 UTC,Crypto deposit,"",65463.1121274779,65463.1121274779,0xb77db6b1a218196c9e2bac9f5dd01526e9d967c2ea89de0c22653282383187ad,""
WFLR,Flare (FLR),34.5467263888,2025-08-01 14:17:38 UTC,Crypto deposit,"",65497.6588538667,65497.6588538667,0xf71d0e7259a59db2e7a15cbac1b2d20505093802dd4cca76b0f757b4a546932f,""
WFLR,Flare (FLR),1290.0881658284,2025-08-03 12:36:32 UTC,Crypto deposit,"",66787.7470196951,66787.7470196951,0xb7a16e4534c2b7d9f9e3afa58047b6e1308b9b7cf67b19037fc5be0f329257f6,""
WFLR,Flare (FLR),34.692637137,2025-08-04 16:53:08 UTC,Crypto deposit,"",66822.4396568321,66822.4396568321,0x4f413933e7f61ba26098ff55d990f8ce0a64377288943845eb548e2703088f9b,""
WFLR,Flare (FLR),35.1478541136,2025-08-08 14:12:41 UTC,Crypto deposit,"",66857.5875109457,66857.5875109457,0x836b8363890b1a6224400d25c35ab6d0f7d473a3facbb81535a7cb968b5b2719,""
WFLR,Flare (FLR),35.4559872653,2025-08-11 15:05:24 UTC,Crypto deposit,"",66893.043498211,66893.043498211,0x1db49f3439887ee74c008a8a88447ff78d401f5bb589c80a603fc9ebbf67e9e2,""
WFLR,Flare (FLR),34.8610430731,2025-08-15 14:31:04 UTC,Crypto deposit,"",66927.9045412841,66927.9045412841,0x875292867c3f8a00f22e2481d7cc58e6e43bc48400ff4844e8613f1252caf41a,""
WFLR,Flare (FLR),33.9476513826,2025-08-18 21:25:57 UTC,Crypto deposit,"",66961.8521926667,66961.8521926667,0x677bb3d6f003304620c43fc6c86f1aadb0f0c7adab40089afbbce5706a8aefcc,""
WFLR,Flare (FLR),33.7792958076,2025-08-22 14:51:05 UTC,Crypto deposit,"",66995.6314884743,66995.6314884743,0xb276d6f156600ae730239acdba8bb0d73c44bb5c490b2f6fb15c0a436d31cc85,""
